frame.len,frame.time_delta,frame.time_delta_displayed,frame.time_epoch,frame.time_relative,radiotap.length,radiotap.timestamp.ts,wlan.duration,wlan.fc.frag,wlan.fc.order,wlan.fc.moredata,wlan.fc.protected,wlan.fc.pwrmgt,wlan.fc.type,wlan.fc.retry,wlan.fc.subtype,wlan_radio.duration,wlan.seq,wlan_radio.data_rate,wlan_radio.signal_dbm,wlan_radio.phy,wlan.sa,wlan.da,wlan.bssid,frame.interface_name
107,0.000009959,0.000009959,1744874371.039343937,0.083105777,13,,0,False,False,False,True,False,2,False,8,848,3350,1,,4,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,ee:64:43:f1:4e:4e,wlo1
107,0.000515742,0.000515742,1744874371.039859679,0.083621519,13,,0,False,False,False,True,False,2,False,8,848,3351,1,,4,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,ee:64:43:f1:4e:4e,wlo1
813,0.001288688,0.001288688,1744874371.041148367,0.084910207,13,,0,False,False,False,True,False,2,False,8,6496,3352,1,,4,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,ee:64:43:f1:4e:4e,wlo1
87,0.000008145,0.000008145,1744874371.041156512,0.084918352,13,,0,False,False,False,True,False,2,False,8,688,3353,1,,4,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,ee:64:43:f1:4e:4e,wlo1
814,0.000680552,0.000680552,1744874371.041837064,0.085598904,13,,0,False,False,False,True,False,2,False,8,6504,3354,1,,4,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,ee:64:43:f1:4e:4e,wlo1
107,0.000473612,0.000473612,1744874371.042310676,0.086072516,13,,0,False,False,False,True,False,2,False,8,848,3355,1,,4,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,ee:64:43:f1:4e:4e,wlo1
122,0.001193649,0.001193649,1744874371.043504325,0.087266165,13,,0,False,False,False,True,False,2,False,8,968,3356,1,,4,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,ee:64:43:f1:4e:4e,wlo1
122,0.000007715,0.000007715,1744874371.043512040,0.087273880,13,,0,False,False,False,True,False,2,False,8,968,3357,1,,4,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,ee:64:43:f1:4e:4e,wlo1
174,0.127656298,0.127656298,1744874371.171168338,0.214930178,68,1198764033,44,False,False,False,True,False,2,False,8,,238,229.4,-44,11,ee:64:43:f1:4e:4e,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,wlo1
150,0.000025358,0.000025358,1744874371.171193696,0.214955536,68,1198764033,44,False,False,False,True,False,2,False,8,,238,229.4,-44,11,ee:64:43:f1:4e:4e,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,wlo1
